Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down	BS.EdgeTypeRatio
ABCF1	ADAMTS7	0.117500	0.117500	0.000000	0.988085	3	unknown	nan/nan/nan
ASAM	ABCF1	0.095100	0.095100	0.000000	0.889590	3	unknown	nan/nan/nan
BCAM	ABCF1	0.051000	0.051000	0.000000	0.845098	3	unknown	nan/nan/nan
BRAF	ABCF1	0.077300	0.077300	0.000000	0.932730	3	unknown	nan/nan/nan
ABCF1	CARD9	0.107300	0.107300	0.000000	0.663560	3	unknown	nan/nan/nan
CRYAB	ABCF1	0.104000	0.104000	0.000000	0.984615	3	unknown	nan/nan/nan
ABCF1	DEPDC7	0.071100	0.071100	0.000000	0.812940	3	unknown	nan/nan/nan
DOCK9	ABCF1	0.099400	0.099400	0.000000	0.908451	3	unknown	nan/nan/nan
E2F2	ABCF1	0.086500	0.086500	0.000000	0.931792	3	unknown	nan/nan/nan
ELF5	ABCF1	0.062800	0.062800	0.000000	0.914013	3	unknown	nan/nan/nan
F2RL1	ABCF1	0.154500	0.154500	0.000000	0.761165	3	unknown	nan/nan/nan
GNAL	ABCF1	0.285300	0.285300	0.000000	0.685244	3	unknown	nan/nan/nan
ABCF1	GNB5	0.101200	0.101200	0.000000	0.752964	3	unknown	nan/nan/nan
HIST1H3D	ABCF1	0.070200	0.070200	0.000000	0.613960	3	unknown	nan/nan/nan
HSP90AB1	ABCF1	0.484000	0.484000	0.000000	0.570041	3	unknown	nan/nan/nan
ABCF1	IDI1	0.068300	0.068300	0.000000	0.502196	3	unknown	nan/nan/nan
KCNK1	ABCF1	0.917000	0.917000	0.000000	0.734787	3	unknown	nan/nan/nan
ABCF1	LIG1	0.384000	0.384000	0.000000	0.907292	3	unknown	nan/nan/nan
NOTCH1	ABCF1	0.063400	0.063400	0.000000	0.817035	3	unknown	nan/nan/nan
ABCF1	PHLDA2	0.154500	0.154500	0.000000	0.627184	3	unknown	nan/nan/nan
ABCF1	PIM1	0.379200	0.379200	0.000000	0.717036	3	unknown	nan/nan/nan
ABCF1	RAB5C	0.143900	0.143900	0.000000	0.572620	3	unknown	nan/nan/nan
RCOR2	ABCF1	0.129200	0.129200	0.000000	0.720588	3	unknown	nan/nan/nan
UBB	ABCF1	0.055900	0.055900	0.000000	0.881932	3	unknown	nan/nan/nan
WNT3	ABCF1	0.053600	0.053600	0.000000	0.992537	3	unknown	nan/nan/nan
WNT6	ABCF1	0.058800	0.058800	0.000000	0.942177	3	unknown	nan/nan/nan
ACTA2	BCL2L1	0.061500	0.061500	0.000000	0.505691	3	unknown	nan/nan/nan
CCDC108	ACTA2	0.180900	0.180900	0.000000	0.997236	3	unknown	nan/nan/nan
CEND1	ACTA2	0.194600	0.194600	0.000000	0.989723	3	unknown	nan/nan/nan
CRK	ACTA2	0.101800	0.101800	0.000000	0.957760	3	unknown	nan/nan/nan
CSGALNACT2	ACTA2	0.100700	0.100700	0.000000	0.859980	3	unknown	nan/nan/nan
FAM129B	ACTA2	0.051900	0.051900	0.000000	0.874759	3	unknown	nan/nan/nan
FNBP1	ACTA2	0.080400	0.080400	0.000000	0.605721	3	unknown	nan/nan/nan
G0S2	ACTA2	0.065000	0.065000	0.000000	0.503077	3	unknown	nan/nan/nan
GPNMB	ACTA2	0.077100	0.077100	0.000000	0.789883	3	unknown	nan/nan/nan
GPR78	ACTA2	0.077500	0.077500	0.000000	0.707097	3	unknown	nan/nan/nan
INF2	ACTA2	0.067200	0.067200	0.000000	0.936012	3	unknown	nan/nan/nan
ACTA2	KPNA1	0.163400	0.163400	0.000000	0.622399	3	unknown	nan/nan/nan
ACTA2	LGALS3	0.088900	0.088900	0.000000	0.631046	3	unknown	nan/nan/nan
MAPK6	ACTA2	0.055800	0.055800	0.000000	0.919355	3	unknown	nan/nan/nan
MAPK9	ACTA2	0.135900	0.135900	0.000000	0.999264	3	unknown	nan/nan/nan
MEX3B	ACTA2	0.054400	0.054400	0.000000	0.957721	3	unknown	nan/nan/nan
MMP2	ACTA2	0.197800	0.197800	0.000000	0.784631	3	unknown	nan/nan/nan
ACTA2	MOBKL2C	0.140000	0.140000	0.000000	0.922143	3	unknown	nan/nan/nan
MYL3	ACTA2	0.054100	0.054100	0.000000	0.998152	3	unknown	nan/nan/nan
