Parent	Child	BS.Prob	edgeScore	BS.Direction
ABCF1	ARHGEF2	0.869400	0.869400	0.850472
ABCF1	CASC4	0.066800	0.066800	0.760479
CCNE1	ABCF1	0.081700	0.081700	0.915545
CD3EAP	ABCF1	0.058400	0.058400	0.950342
CDKN2A	ABCF1	0.193900	0.193900	0.871583
CENPF	ABCF1	0.253900	0.253900	0.923592
CHAF1A	ABCF1	0.515300	0.515300	0.917912
CTPS	ABCF1	0.145000	0.145000	0.748276
DAZAP2	ABCF1	0.097800	0.097800	0.737219
ABCF1	DHX9	0.130700	0.130700	0.872992
E2F2	ABCF1	0.405100	0.405100	0.644532
E2F3	ABCF1	0.831200	0.831200	0.596246
ABCF1	EFEMP1	0.120800	0.120800	0.986755
EIF2C2	ABCF1	0.261400	0.261400	0.847743
ABCF1	ENO1	0.060000	0.060000	0.791667
ABCF1	FZD1	0.061300	0.061300	0.978793
ABCF1	GNA12	0.053300	0.053300	0.789869
ABCF1	GPR78	0.067200	0.067200	0.962798
ABCF1	GSTK1	0.072700	0.072700	0.557084
HDAC2	ABCF1	0.260100	0.260100	0.635525
ABCF1	HSD17B2	0.055600	0.055600	0.958633
HSP90AB1	ABCF1	0.057300	0.057300	0.834206
IL27	ABCF1	0.114600	0.114600	0.984293
KHDRBS3	ABCF1	0.067900	0.067900	0.848306
ABCF1	KIAA0020	0.067200	0.067200	0.610119
ABCF1	LGALS3	0.084200	0.084200	0.921615
ABCF1	MEX3D	0.053300	0.053300	0.868668
MLPH	ABCF1	0.296200	0.296200	0.914922
MMP12	ABCF1	0.069900	0.069900	0.773963
ABCF1	MMP25	0.058600	0.058600	0.924915
ABCF1	MT3	0.129000	0.129000	0.865116
ABCF1	MTAP	0.133600	0.133600	0.814371
ABCF1	MYO10	0.132100	0.132100	0.707797
NDRG1	ABCF1	0.071700	0.071700	0.715481
NFIA	ABCF1	0.055600	0.055600	0.821942
NFKBIE	ABCF1	0.116400	0.116400	0.881443
ABCF1	NOTCH1	0.086500	0.086500	0.691329
ABCF1	ODC1	0.444800	0.444800	0.664568
PAK2	ABCF1	0.158700	0.158700	0.706994
PFDN2	ABCF1	0.196300	0.196300	0.570555
PLK1	ABCF1	0.668700	0.668700	0.715568
POLR1B	ABCF1	0.091900	0.091900	0.548422
ABCF1	PRKACB	0.052700	0.052700	0.943074
PRKX	ABCF1	0.417600	0.417600	0.758860
ABCF1	PTEN	0.074000	0.074000	0.922973
ABCF1	PTGER1	0.055700	0.055700	0.904847
ABCF1	PTK7	0.095500	0.095500	0.747644
RAB5B	ABCF1	0.186400	0.186400	0.912017
ABCF1	RAVER1	0.054600	0.054600	0.957875
ABCF1	RB1	0.050800	0.050800	0.726378
ABCF1	RBL2	0.321200	0.321200	0.716687
ABCF1	RHBDL1	0.126600	0.126600	0.739336
RHOB	ABCF1	0.067800	0.067800	0.902655
ABCF1	RPS14	0.068000	0.068000	0.591176
ABCF1	SGCA	0.176300	0.176300	0.716960
SPDEF	ABCF1	0.391900	0.391900	0.947180
SULT1A1	ABCF1	0.063700	0.063700	0.775510
ABCF1	TAGLN2	0.459000	0.459000	0.519608
ABCF1	TCEAL1	0.119000	0.119000	0.553782
ABCF1	TEX10	0.328200	0.328200	0.847044
ABCF1	TK2	0.167100	0.167100	0.651706
ABCF1	TRAF2	0.051200	0.051200	0.607422
ABCF1	TUBB2C	0.181600	0.181600	0.878304
UBE2C	ABCF1	0.114500	0.114500	0.928384
ABCF1	UBE2I	0.062400	0.062400	0.783654
VAV3	ABCF1	0.337100	0.337100	0.812519
ZNF467	ABCF1	0.100200	0.100200	0.967066
ACTA2	ABLIM1	0.183900	0.183900	0.942904
ABLIM1	ADCY4	0.161800	0.161800	0.600124
ABLIM1	ADRBK2	0.091800	0.091800	0.815904
ALPPL2	ABLIM1	0.061300	0.061300	0.526917
ABLIM1	ANTXR2	0.345300	0.345300	0.701998
CASP10	ABLIM1	0.218500	0.218500	0.883295
CAT	ABLIM1	0.079800	0.079800	0.687970
CCNL1	ABLIM1	0.077900	0.077900	0.998716
CLDN5	ABLIM1	0.111800	0.111800	1.000000
COX6A2	ABLIM1	0.302400	0.302400	0.871693
CTPS	ABLIM1	0.079900	0.079900	0.968711
CXCL14	ABLIM1	0.231300	0.231300	0.582361
ABLIM1	DAB2	0.434400	0.434400	0.636971
ABLIM1	DOCK9	0.402200	0.402200	0.807807
ABLIM1	DUSP6	0.417900	0.417900	0.528356
ABLIM1	DUSP9	0.287200	0.287200	0.763579
ABLIM1	EDNRA	0.190700	0.190700	0.989512
ABLIM1	EFEMP1	0.086200	0.086200	0.708817
ABLIM1	EFEMP2	0.211700	0.211700	0.589041
ABLIM1	EPHB2	0.050400	0.050400	0.781746
ABLIM1	EPHB6	0.319800	0.319800	0.781113
FGF1	ABLIM1	0.447400	0.447400	0.651095
FOXO3	ABLIM1	0.065800	0.065800	0.550152
FZD4	ABLIM1	0.936700	0.936700	0.575104
GAPDH	ABLIM1	0.127700	0.127700	0.771339
ABLIM1	GNAQ	0.121700	0.121700	0.667214
GNB5	ABLIM1	0.131900	0.131900	0.664139
ABLIM1	GNG11	0.189500	0.189500	0.921372
GPR150	ABLIM1	0.081400	0.081400	0.842752
GPX3	ABLIM1	0.204500	0.204500	0.819071
HES1	ABLIM1	0.144100	0.144100	0.616239
ABLIM1	IGFBP2	0.055400	0.055400	0.978339
ABLIM1	IGFBP4	0.051200	0.051200	0.707031
IGFBP6	ABLIM1	0.310300	0.310300	0.940703
ABLIM1	IL1F9	0.199600	0.199600	0.811122
ABLIM1	ILK	0.213300	0.213300	0.958275
ITGA3	ABLIM1	0.054800	0.054800	0.622263
ITGA7	ABLIM1	0.092400	0.092400	0.987013
ITPR1	ABLIM1	0.175900	0.175900	0.716885
ABLIM1	KLK12	0.213600	0.213600	0.563202
LOC100130557	ABLIM1	0.102300	0.102300	0.802542
LOC145694	ABLIM1	0.067200	0.067200	0.639881
LOC284542	ABLIM1	0.113900	0.113900	0.856014
LTA4H	ABLIM1	0.159400	0.159400	0.846926
ABLIM1	MAP3K10	0.128900	0.128900	0.697440
MAP3K5	ABLIM1	0.090600	0.090600	0.554084
ABLIM1	MAP3K6	0.050700	0.050700	0.856016
ABLIM1	MXRA8	0.064100	0.064100	0.697348
ABLIM1	MYL7	0.065800	0.065800	0.699088
MYL9	ABLIM1	0.096500	0.096500	0.810363
MYLK	ABLIM1	0.173500	0.173500	0.877233
ABLIM1	NDST1	0.088300	0.088300	0.818800
NFIA	ABLIM1	0.520200	0.520200	0.721646
ABLIM1	NOL9	0.057800	0.057800	0.932526
ABLIM1	NOTCH2	0.062200	0.062200	0.577170
NRG1	ABLIM1	0.129100	0.129100	0.953524
ABLIM1	NUDT6	0.050200	0.050200	0.872510
PAK2	ABLIM1	0.093500	0.093500	0.853476
ABLIM1	PALM	0.225800	0.225800	0.873339
PDE2A	ABLIM1	0.111100	0.111100	0.995500
ABLIM1	PDK2	0.091700	0.091700	0.886587
ABLIM1	PIK3R1	0.053200	0.053200	0.783835
ABLIM1	PLA2R1	0.363400	0.363400	0.565217
ABLIM1	PLCH2	0.358800	0.358800	0.828317
PLK1	ABLIM1	0.057600	0.057600	0.868056
PPP1R12B	ABLIM1	0.197200	0.197200	0.934584
ABLIM1	PTEN	0.183400	0.183400	0.940567
PTRF	ABLIM1	0.158500	0.158500	0.989905
ABLIM1	RBL2	0.061300	0.061300	0.619902
ABLIM1	RELL2	0.196100	0.196100	0.694034
ABLIM1	RFFL	0.068600	0.068600	0.946064
RGMB	ABLIM1	0.057300	0.057300	0.696335
ABLIM1	RNASE4	0.086500	0.086500	0.864740
ABLIM1	RPS6KA2	0.096700	0.096700	0.885212
SESN1	ABLIM1	0.199500	0.199500	0.587970
ABLIM1	SGCA	0.062200	0.062200	0.797428
ABLIM1	SGSH	0.113700	0.113700	0.806508
SLMO2	ABLIM1	0.103600	0.103600	0.805019
SPRY2	ABLIM1	0.054700	0.054700	1.000000
STAT6	ABLIM1	0.441000	0.441000	0.562585
ABLIM1	STYK1	0.086800	0.086800	0.907834
ABLIM1	SYNPO	0.056300	0.056300	0.916519
TCEB1	ABLIM1	0.053900	0.053900	0.853432
ABLIM1	THRB	0.133400	0.133400	0.864318
TNXB	ABLIM1	0.463500	0.463500	0.981446
ABLIM1	TUBA1C	0.058000	0.058000	0.939655
ABLIM1	TXNIP	0.272100	0.272100	0.528482
ABLIM1	UBE2I	0.096000	0.096000	0.935417
ABLIM1	WASF2	0.088400	0.088400	0.558824
ACTN4	ACAT2	0.252000	0.252000	0.532937
ATXN1	ACAT2	0.084200	0.084200	0.514252
BRCA1	ACAT2	0.115600	0.115600	0.781142
CD79A	ACAT2	0.089100	0.089100	0.923681
CMTM7	ACAT2	0.253000	0.253000	0.668379
CREBBP	ACAT2	0.063300	0.063300	0.963665
ACAT2	DHCR7	0.146800	0.146800	0.647820
ACAT2	EIF4EBP1	0.067000	0.067000	0.632836
ACAT2	EN2	0.052000	0.052000	0.867308
FAM100B	ACAT2	0.153800	0.153800	0.908322
FDPS	ACAT2	0.058600	0.058600	0.953925
FHIT	ACAT2	0.232500	0.232500	0.946667
FLJ35934	ACAT2	0.089900	0.089900	0.892102
ACAT2	GLI3	0.085400	0.085400	0.593677
GNA12	ACAT2	0.144200	0.144200	0.730236
GNB1L	ACAT2	0.203400	0.203400	0.739921
ACAT2	GNG4	0.115900	0.115900	0.679896
GNG5	ACAT2	0.317500	0.317500	0.785512
GSK3B	ACAT2	0.088500	0.088500	0.945763
HMGCS1	ACAT2	0.167800	0.167800	0.546484
IDI1	ACAT2	0.324700	0.324700	0.705266
KIAA0020	ACAT2	0.085600	0.085600	0.953271
LEMD1	ACAT2	0.371500	0.371500	0.873217
LOC100130557	ACAT2	0.174800	0.174800	0.922769
LOC92659	ACAT2	0.066900	0.066900	0.744395
MAPK13	ACAT2	0.062200	0.062200	0.954984
MMP12	ACAT2	0.328900	0.328900	0.700213
ACAT2	MT3	0.225600	0.225600	0.614362
MTHFD2	ACAT2	0.057400	0.057400	0.891986
NFKBIB	ACAT2	0.211500	0.211500	0.750355
NOTCH2	ACAT2	0.053800	0.053800	0.526022
NRAS	ACAT2	0.403600	0.403600	0.854559
PAK2	ACAT2	0.319400	0.319400	0.904195
ACAT2	PAK4	0.058100	0.058100	0.877797
ACAT2	PIK3C2B	0.101100	0.101100	0.641939
PINX1	ACAT2	0.056900	0.056900	0.992970
PTPLA	ACAT2	0.166900	0.166900	0.807669
ACAT2	RAF1	0.072200	0.072200	0.526316
RFFL	ACAT2	0.094400	0.094400	0.734110
ACAT2	RNF5	0.571300	0.571300	0.556100
RPL35A	ACAT2	0.079200	0.079200	0.877525
RRP15	ACAT2	0.114600	0.114600	0.817627
SDK2	ACAT2	0.066500	0.066500	0.990977
SH3GLB1	ACAT2	0.713600	0.713600	0.868554
SMAD5	ACAT2	0.098700	0.098700	0.773050
SMARCC2	ACAT2	0.057000	0.057000	0.828070
SOD2	ACAT2	0.092000	0.092000	0.994565
SYK	ACAT2	0.209300	0.209300	0.892977
ACAT2	TFPI2	0.085300	0.085300	0.657679
TK1	ACAT2	0.137800	0.137800	0.911466
ACAT2	TUBA8	0.115200	0.115200	0.513021
UBE2D2	ACAT2	0.103500	0.103500	0.713043
UBE2J1	ACAT2	0.075000	0.075000	0.914667
WWTR1	ACAT2	0.255700	0.255700	0.993352
ACTA2	ACTC1	0.739600	0.739600	0.563683
ACTN1	ACTA2	0.135100	0.135100	0.555885
ACTA2	ATP2C1	0.080600	0.080600	0.915633
BCL6	ACTA2	0.071300	0.071300	0.988780
ACTA2	BMPR1A	0.224000	0.224000	0.749554
ACTA2	CAT	0.145900	0.145900	0.584647
CAV1	ACTA2	0.280200	0.280200	0.834761
CCNB2	ACTA2	0.059900	0.059900	0.616027
ACTA2	CCND2	0.325100	0.325100	0.517072
