Parent	Child	relationType	edgeScore	Freq
PHYHD1	F3	Type 0	0.280885	0.280885
BUB1	LMNB1	Type 0	0.219128	0.219128
KIF20A	LMNB1	Type 0	0.901132	0.901132
LMNB1	E2F7	Type 0	0.991549	0.991549
SPINK1	LOC286178	Type 0	0.225306	0.225306
TMED6	LOC286178	Type 0	0.487056	0.487056
LOC286178	TMED6	Type 0	0.512944	0.512944
LOC286178	PCDH19	Type 0	0.257720	0.257720
GLDN	PRUNE2	Type 0	0.514846	0.514846
SCG3	PRUNE2	Type 0	0.541086	0.541086
HMP19	PRUNE2	Type 0	0.303604	0.303604
ADAM28	PRUNE2	Type 0	0.476267	0.476267
PRUNE2	GLDN	Type 0	0.397167	0.397167
PRUNE2	ANK3	Type 0	0.563557	0.563557
PRUNE2	TTC9	Type 0	0.290203	0.290203
PRUNE2	ADAM28	Type 0	0.523733	0.523733
PRUNE2	FRMD3	Type 0	0.297055	0.297055
PRUNE2	PRSS8	Type 0	0.246442	0.246442
EDEM3	UAP1	Type 0	0.321569	0.321569
TAF1A	UAP1	Type 0	0.696929	0.696929
UAP1	HSPB8	Type 0	0.391317	0.391317
UAP1	RBP1	Type 0	0.392086	0.392086
UAP1	MIA3	Type 0	0.303690	0.303690
UAP1	PRSS1	Type 0	0.236492	0.236492
TPM4	EMP2	Type 0	0.297372	0.297372
GDE1	EMP2	Type 0	0.994601	0.994601
ZFYVE21	EMP2	Type 0	0.324883	0.324883
RHOA	EMP2	Type 0	0.323048	0.323048
EMP2	GPRIN3	Type 0	0.323269	0.323269
ATP8B1	MRPL11	Type 0	0.234066	0.234066
NDUFS8	MRPL11	Type 0	0.245205	0.245205
SLC29A2	MRPL11	Type 0	0.292471	0.292471
RBM4	MRPL11	Type 0	0.500110	0.500110
LOC728554///THOC3	MRPL11	Type 0	0.321257	0.321257
DPP3	MRPL11	Type 0	0.384698	0.384698
MRPL11	EPHX4	Type 0	0.947627	0.947627
MRPL11	SLC29A2	Type 0	0.677086	0.677086
MRPL11	RBM4	Type 0	0.499890	0.499890
MRPL11	TP53RK	Type 0	0.297046	0.297046
CNKSR3	FAM46A	Type 0	0.540425	0.540425
CACNB2	FAM46A	Type 0	0.372546	0.372546
FAM46A	CNKSR3	Type 0	0.249627	0.249627
FAM46A	ACSS3	Type 0	0.369260	0.369260
FAM46A	PRSS23	Type 0	0.372026	0.372026
FAM46A	SYNPO2L	Type 0	0.287146	0.287146
ACOX2	PFKFB3	Type 0	0.640370	0.640370
GPC4	PFKFB3	Type 0	0.426170	0.426170
COL9A2	PFKFB3	Type 0	0.223291	0.223291
SASH1	PFKFB3	Type 0	0.219598	0.219598
PFKFB3	ACOX2	Type 0	0.359630	0.359630
PFKFB3	GPC4	Type 0	0.287080	0.287080
COL14A1	CDC14B	Type 0	0.384335	0.384335
CDC14B	PTCH1	Type 0	0.456117	0.456117
CDC14B	THRB	Type 0	0.221686	0.221686
CDC14B	CSDA	Type 0	0.212985	0.212985
NCRNA00086///CXorf48	RIMS3	Type 0	0.851731	0.851731
SCAMP1	RIMS3	Type 0	0.343173	0.343173
FAM85A	RIMS3	Type 0	0.231631	0.231631
NCRNA00086	RIMS3	Type 0	0.321405	0.321405
KCNMB1	RIMS3	Type 0	0.200587	0.200587
RIMS3	SLC39A8	Type 0	0.298083	0.298083
RIMS3	CLTA	Type 0	0.217043	0.217043
RIMS3	LOC154761	Type 0	0.299823	0.299823
RIMS3	PRIMA1	Type 0	0.216000	0.216000
VCPIP1	UQCRB	Type 0	0.256233	0.256233
UQCRB	C4B///C4A	Type 0	0.262494	0.262494
UQCRB	FAM169A	Type 0	0.298830	0.298830
UQCRB	FAM92A1	Type 0	0.302069	0.302069
UQCRB	LRRC16A	Type 0	0.998721	0.998721
UQCRB	NPM1	Type 0	0.278474	0.278474
C12orf47	IVD	Type 0	0.545076	0.545076
DIS3L	IVD	Type 0	0.302010	0.302010
IVD	KRT222	Type 0	0.589640	0.589640
IVD	C15orf57	Type 0	0.297730	0.297730
IVD	ZDHHC4	Type 0	0.328218	0.328218
EIF2C2	LOC652607///PABPC1P4///PABPC1///PABPC3	Type 0	0.549762	0.549762
LOC642869///SET	LOC652607///PABPC1P4///PABPC1///PABPC3	Type 0	0.232197	0.232197
DERL1	LOC652607///PABPC1P4///PABPC1///PABPC3	Type 0	0.376376	0.376376
LOC644215	LOC652607///PABPC1P4///PABPC1///PABPC3	Type 0	0.265530	0.265530
AZIN1	LOC652607///PABPC1P4///PABPC1///PABPC3	Type 0	0.347245	0.347245
LOC652607///PABPC1P4///PABPC1///PABPC3	MYC	Type 0	0.318767	0.318767
LOC652607///PABPC1P4///PABPC1///PABPC3	NAP1L5	Type 0	0.226435	0.226435
LOC652607///PABPC1P4///PABPC1///PABPC3	ZG16B	Type 0	0.428084	0.428084
LOC652607///PABPC1P4///PABPC1///PABPC3	NGFRAP1	Type 0	0.481118	0.481118
LOC652607///PABPC1P4///PABPC1///PABPC3	AQP5	Type 0	0.209932	0.209932
LOC652607///PABPC1P4///PABPC1///PABPC3	DTD1	Type 0	0.295880	0.295880
LOC652607///PABPC1P4///PABPC1///PABPC3	BGLAP	Type 0	0.294194	0.294194
LOC652607///PABPC1P4///PABPC1///PABPC3	DOK1	Type 0	0.330072	0.330072
LOC652607///PABPC1P4///PABPC1///PABPC3	AHCY	Type 0	0.257848	0.257848
MMP1	IL8	Type 0	0.228982	0.228982
CHAD	PDE4A	Type 0	0.210841	0.210841
CX3CR1	PDE4A	Type 0	0.331014	0.331014
NFIX	PDE4A	Type 0	0.932851	0.932851
ARNT2	PDE4A	Type 0	0.282545	0.282545
PDE4A	ARNT2	Type 0	0.460012	0.460012
PDE4A	ATHL1	Type 0	0.295011	0.295011
PDE4A	FGD3	Type 0	0.215863	0.215863
CNKSR3	C6orf192	Type 0	0.291653	0.291653
CD109	C6orf192	Type 0	0.307008	0.307008
C6orf192	CTNND2	Type 0	0.226003	0.226003
C6orf192	CD109	Type 0	0.444105	0.444105
PCDH8	LOC645722	Type 0	0.310299	0.310299
LHX8	LOC645722	Type 0	0.913470	0.913470
BCLAF1	MAN1A2	Type 0	0.245019	0.245019
LARP4	MAN1A2	Type 0	0.313641	0.313641
MAN1A2	RSF1	Type 0	0.221671	0.221671
MAN1A2	CBFA2T3	Type 0	0.223453	0.223453
MAN1A2	YES1	Type 0	0.876858	0.876858
MAN1A2	HINT3	Type 0	0.270069	0.270069
MAN1A2	LARP4	Type 0	0.603575	0.603575
SDPR	ATP7A	Type 0	0.201003	0.201003
NCOA3	ATP7A	Type 0	0.383001	0.383001
ARHGAP18	ATP7A	Type 0	0.291163	0.291163
NFAT5	ATP7A	Type 0	0.297872	0.297872
NIPBL	ATP7A	Type 0	0.985294	0.985294
ARFGEF2	ATP7A	Type 0	0.237687	0.237687
ZFP91	ATP7A	Type 0	0.215888	0.215888
ATP7A	POF1B	Type 0	0.260771	0.260771
LDOC1	GPR125	Type 0	0.244898	0.244898
SYS1-DBNDD2///DBNDD2	GPR125	Type 0	0.225558	0.225558
MXI1	GPR125	Type 0	0.289421	0.289421
FAM13A	GPR125	Type 0	0.505364	0.505364
SPINT3	GPR125	Type 0	0.896542	0.896542
TACC2	GPR125	Type 0	0.388363	0.388363
WHSC1	GPR125	Type 0	0.300293	0.300293
ABLIM1	GPR125	Type 0	0.251913	0.251913
ALDH7A1	GPR125	Type 0	0.214583	0.214583
GPR125	TUBBP5	Type 0	0.295537	0.295537
MYBL1	REEP6	Type 0	0.485801	0.485801
REEP6	LRG1	Type 0	0.339648	0.339648
REEP6	ENTPD3	Type 0	0.225731	0.225731
REEP6	GSTP1	Type 0	0.300879	0.300879
C16orf54	TOX	Type 0	0.237896	0.237896
TOX	FOXA1	Type 0	0.290216	0.290216
BIRC3	ITGA4	Type 0	0.229013	0.229013
KLRC2///KLRC1	ITGA4	Type 0	0.599168	0.599168
LCP2	ITGA4	Type 0	0.274406	0.274406
ITGA4	AOX1	Type 0	0.200407	0.200407
ITGA4	FAM119A	Type 0	0.244485	0.244485
ITGA4	KLRC2///KLRC1	Type 0	0.200256	0.200256
