Parent	Child	BS.Prob	edgeScore	BS.Gain	BS.Direction	EdgeType	BS.up/down
GATA3	XBP1	0.977154	0.977154	0.000000	0.758163	3	unknown
ESR1	GATA3	0.619767	0.619767	0.000000	0.533777	3	unknown
GATA3	YBX1	0.182468	0.182468	0.000000	0.520132	3	unknown
CEBPB	GATA3	0.138285	0.138285	0.000000	0.581514	3	unknown
GATA3	BHLHE40	0.203502	0.203502	0.000000	0.897132	3	unknown
GATA3	ENO1	0.204509	0.204509	0.000000	0.971457	3	unknown
FOXA1	GATA3	0.999094	0.999094	0.000000	0.820893	3	unknown
GATA3	EN1	0.385870	0.385870	0.000000	0.873500	3	unknown
GATA3	LASS2	0.572866	0.572866	0.000000	0.906535	3	unknown
GATA3	PBX1	0.962359	0.962359	0.000000	0.685840	3	unknown
GATA3	FOXC1	0.225543	0.225543	0.000000	0.604641	3	unknown
GATA3	TSC22D3	0.075181	0.075181	0.000000	0.890228	3	unknown
GATA3	ANKRD30A	0.081522	0.081522	0.000000	0.895062	3	unknown
GATA3	IRX3	0.295189	0.295189	0.000000	0.962155	3	unknown
GATA3	HNRNPK	0.068740	0.068740	0.000000	0.976574	3	unknown
GATA3	TFAP2A	0.164050	0.164050	0.000000	0.863804	3	unknown
GATA3	FOXP1	0.148048	0.148048	0.000000	0.934058	3	unknown
GATA3	ZNF91	0.063607	0.063607	0.000000	0.976266	3	unknown
GATA3	ZNF24	0.050322	0.050322	0.000000	0.770000	3	unknown
LASS6	GATA3	0.932870	0.932870	0.000000	0.537167	3	unknown
GATA3	SOX10	0.101449	0.101449	0.000000	0.817460	3	unknown
GATA3	HMG20B	0.102959	0.102959	0.000000	0.752688	3	unknown
GATA3	TFAP2B	0.075081	0.075081	0.000000	0.738606	3	unknown
GATA3	IRF9	0.224537	0.224537	0.000000	0.935007	3	unknown
GATA3	CREB3L4	0.545089	0.545089	0.000000	0.525849	3	unknown
GATA3	NFIA	0.065821	0.065821	0.000000	0.897554	3	unknown
SPDEF	GATA3	0.975845	0.975845	0.000000	0.760829	3	unknown
